Index,URL,Text,Type,Domain,IsExternal
1,https://x.com/i/keyboard_shortcuts,View keyboard shortcuts,link,x.com,false
2,https://x.com/home,X,link,x.com,false
3,https://x.com/home,Home,link,x.com,false
4,https://x.com/explore,Explore,link,x.com,false
5,https://x.com/notifications,20+Notifications,link,x.com,false
6,https://x.com/messages,Messages,link,x.com,false
7,https://x.com/i/grok,Grok,link,x.com,false
8,https://x.com/i/bookmarks,Bookmarks,link,x.com,false
9,https://x.com/jobs,Jobs,link,x.com,false
10,https://x.com/queenhaley___/communities,Communities,link,x.com,false
11,https://x.com/i/premium_sign_up,Premium,link,x.com,false
12,https://x.com/i/verified-orgs-signup,Verified Orgs,link,x.com,false
13,https://x.com/queenhaley___,Profile,link,x.com,false
14,https://x.com/compose/post,Post,link,x.com,false
15,https://x.com/queenhaley___/header_photo,,link,x.com,false
16,https://x.com/queenhaley___/photo,,link,x.com,false
17,https://x.com/settings/profile,Edit profile,link,x.com,false
18,https://x.com/queenhaley___/following,"2,856 Following",link,x.com,false
19,https://x.com/queenhaley___/verified_followers,130 Followers,link,x.com,false
20,https://x.com/queenhaley___,Posts,link,x.com,false
21,https://x.com/queenhaley___/with_replies,Replies,link,x.com,false
22,https://x.com/queenhaley___/highlights,Highlights,link,x.com,false
23,https://x.com/queenhaley___/articles,Articles,link,x.com,false
24,https://x.com/queenhaley___/media,Media,link,x.com,false
25,https://x.com/queenhaley___/likes,Likes,link,x.com,false
26,https://x.com/queenhaley___,,link,x.com,false
27,https://x.com/queenhaley___,Haley nia,link,x.com,false
28,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
29,https://x.com/queenhaley___/status/1939549525242175906,29m,link,x.com,false
30,https://x.com/queenhaley___/status/1939549525242175906/analytics,4,link,x.com,false
31,https://x.com/queenhaley___,,link,x.com,false
32,https://x.com/queenhaley___,Haley nia,link,x.com,false
33,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
34,https://x.com/queenhaley___/status/1939549522281295958,29m,link,x.com,false
35,https://x.com/queenhaley___/status/1939549522281295958/analytics,3,link,x.com,false
36,https://x.com/desihova,,link,x.com,false
37,https://x.com/desihova,Desi,link,x.com,false
38,https://x.com/desihova,@desihova,link,x.com,false
39,https://x.com/desihova/status/1937507386203213996,Jun 24,link,x.com,false
40,https://x.com/desihova/status/1937507386203213996/analytics,1.6K,link,x.com,false
41,https://x.com/queenhaley___,,link,x.com,false
42,https://x.com/queenhaley___,Haley nia,link,x.com,false
43,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
44,https://x.com/queenhaley___/status/1937860182190535139,Jun 25,link,x.com,false
45,https://x.com/queenhaley___/status/1937860182190535139/analytics,10,link,x.com,false
46,https://x.com/queenhaley___,,link,x.com,false
47,https://x.com/queenhaley___,Haley nia,link,x.com,false
48,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
49,https://x.com/queenhaley___/status/1935364608539201613,Jun 18,link,x.com,false
50,https://x.com/NatonyaSheilaa,@NatonyaSheilaa,link,x.com,false
51,https://x.com/queenhaley___/status/1935364608539201613/analytics,5,link,x.com,false
52,https://x.com/queenhaley___,,link,x.com,false
53,https://x.com/queenhaley___,Haley nia,link,x.com,false
54,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
55,https://x.com/queenhaley___/status/1932782429439250454,Jun 11,link,x.com,false
56,https://x.com/paigejablonski,@paigejablonski,link,x.com,false
57,https://x.com/queenhaley___/status/1932782429439250454/analytics,18,link,x.com,false
58,https://x.com/XCaseFiles,,link,x.com,false
59,https://x.com/XCaseFiles,X Case Files,link,x.com,false
60,https://x.com/XCaseFiles,@XCaseFiles,link,x.com,false
61,https://x.com/TRAPAHOLICS,,link,x.com,false
62,https://x.com/TRAPAHOLICS,DJ Trap-A-Holics,link,x.com,false
63,https://x.com/TRAPAHOLICS,@TRAPAHOLICS,link,x.com,false
64,https://x.com/desihova,,link,x.com,false
65,https://x.com/desihova,Desi,link,x.com,false
66,https://x.com/desihova,@desihova,link,x.com,false
67,https://x.com/i/connect_people?user_id=1460887925227413507,Show more,link,x.com,false
68,https://x.com/paigejablonski,,link,x.com,false
69,https://x.com/paigejablonski,PJ,link,x.com,false
70,https://x.com/paigejablonski,@paigejablonski,link,x.com,false
71,https://x.com/paigejablonski/status/1932058400721932319,Jun 9,link,x.com,false
72,https://x.com/paigejablonski/status/1932058400721932319/analytics,90,link,x.com,false
73,https://x.com/queenhaley___,,link,x.com,false
74,https://x.com/queenhaley___,Haley nia,link,x.com,false
75,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
76,https://x.com/queenhaley___/status/1932151163132219727,Jun 9,link,x.com,false
77,https://x.com/queenhaley___/status/1932151163132219727/analytics,15,link,x.com,false
78,https://x.com/queenhaley___,,link,x.com,false
79,https://x.com/queenhaley___,Haley nia,link,x.com,false
80,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
81,https://x.com/queenhaley___/status/1932139208954515952,Jun 9,link,x.com,false
82,https://x.com/IsabelMiguel_,@IsabelMiguel_,link,x.com,false
83,https://x.com/queenhaley___/status/1932139208954515952/analytics,7,link,x.com,false
84,https://x.com/queenhaley___,,link,x.com,false
85,https://x.com/queenhaley___,Haley nia,link,x.com,false
86,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
87,https://x.com/queenhaley___/status/1927798130566684976,May 28,link,x.com,false
88,https://x.com/paigejablonski,@paigejablonski,link,x.com,false
89,https://x.com/queenhaley___/status/1927798130566684976/analytics,6,link,x.com,false
90,https://x.com/queenhaley___,,link,x.com,false
91,https://x.com/queenhaley___,Haley nia,link,x.com,false
92,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
93,https://x.com/queenhaley___/status/1918599335161254271,May 3,link,x.com,false
94,https://x.com/grok,@grok,link,x.com,false
95,https://x.com/queenhaley___/status/1918599335161254271/analytics,8,link,x.com,false
96,https://x.com/queenhaley___,,link,x.com,false
97,https://x.com/queenhaley___,Haley nia,link,x.com,false
98,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
99,https://x.com/queenhaley___/status/1860386880782487787,"Nov 23, 2024",link,x.com,false
100,https://x.com/IsabelMiguel_,@IsabelMiguel_,link,x.com,false
101,https://x.com/queenhaley___/status/1860386880782487787/analytics,13,link,x.com,false
102,https://x.com/queenhaley___,,link,x.com,false
103,https://x.com/queenhaley___,Haley nia,link,x.com,false
104,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
105,https://x.com/queenhaley___/status/1860187573504917773,"Nov 23, 2024",link,x.com,false
106,https://x.com/IsabelMiguel_,@IsabelMiguel_,link,x.com,false
107,https://x.com/queenhaley___/status/1860187573504917773/analytics,10,link,x.com,false
108,https://x.com/queenhaley___,,link,x.com,false
109,https://x.com/queenhaley___,Haley nia,link,x.com,false
110,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
111,https://x.com/queenhaley___/status/1860031133364502929,"Nov 22, 2024",link,x.com,false
112,https://x.com/IsabelMiguel_,@IsabelMiguel_,link,x.com,false
113,https://x.com/queenhaley___/status/1860031133364502929/analytics,10,link,x.com,false
114,https://x.com/queenhaley___,,link,x.com,false
115,https://x.com/queenhaley___,Haley nia,link,x.com,false
116,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
117,https://x.com/queenhaley___/status/1859665165190562211,"Nov 21, 2024",link,x.com,false
118,https://x.com/IsabelMiguel_,@IsabelMiguel_,link,x.com,false
119,https://x.com/queenhaley___/status/1859665165190562211/analytics,6,link,x.com,false
120,https://x.com/queenhaley___,,link,x.com,false
121,https://x.com/queenhaley___,Haley nia,link,x.com,false
122,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
123,https://x.com/queenhaley___/status/1856791658882384132,"Nov 13, 2024",link,x.com,false
124,https://x.com/paigejablonski,@paigejablonski,link,x.com,false
125,https://x.com/queenhaley___/status/1856791658882384132/analytics,9,link,x.com,false
126,https://x.com/queenhaley___,,link,x.com,false
127,https://x.com/queenhaley___,Haley nia,link,x.com,false
128,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
129,https://x.com/queenhaley___/status/1856205471692005489,"Nov 12, 2024",link,x.com,false
130,https://x.com/IsabelMiguel_,@IsabelMiguel_,link,x.com,false
131,https://x.com/queenhaley___/status/1856205471692005489/analytics,5,link,x.com,false
132,https://x.com/queenhaley___,,link,x.com,false
133,https://x.com/queenhaley___,Haley nia,link,x.com,false
134,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
135,https://x.com/queenhaley___/status/1855978737528869005,"Nov 11, 2024",link,x.com,false
136,https://x.com/IsabelMiguel_,@IsabelMiguel_,link,x.com,false
137,https://x.com/queenhaley___/status/1855978737528869005/analytics,6,link,x.com,false
138,https://x.com/queenhaley___,,link,x.com,false
139,https://x.com/queenhaley___,Haley nia,link,x.com,false
140,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
141,https://x.com/queenhaley___/status/1833601965915574711,"Sep 10, 2024",link,x.com,false
142,https://x.com/riahdasav,@riahdasav,link,x.com,false
143,https://x.com/queenhaley___/status/1833601965915574711/analytics,13,link,x.com,false
144,https://x.com/YoDingle_,,link,x.com,false
145,https://x.com/YoDingle_,,link,x.com,false
146,https://x.com/YoDingle_,@YoDingle_,link,x.com,false
147,https://x.com/YoDingle_/status/1833520642483790159,"Sep 10, 2024",link,x.com,false
148,https://x.com/YoDingle_/status/1833520642483790159/analytics,2K,link,x.com,false
149,https://x.com/queenhaley___,,link,x.com,false
150,https://x.com/queenhaley___,Haley nia,link,x.com,false
151,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
152,https://x.com/queenhaley___/status/1833525194872525237,"Sep 10, 2024",link,x.com,false
153,https://x.com/queenhaley___/status/1833525194872525237/analytics,25,link,x.com,false
154,https://x.com/queenhaley___,,link,x.com,false
155,https://x.com/queenhaley___,Haley nia,link,x.com,false
156,https://x.com/queenhaley___,@queenhaley___,link,x.com,false
157,https://x.com/queenhaley___/status/1830157732655116299,"Sep 1, 2024",link,x.com,false
158,https://x.com/hashtag/HaleyAssignments?src=hashtag_click,#HaleyAssignments,link,x.com,false
159,https://x.com/queenhaley___/status/1830157732655116299/analytics,409,link,x.com,false
160,https://x.com/LookN2MyLife,,link,x.com,false
161,https://x.com/LookN2MyLife,Mr. Burns,link,x.com,false
162,https://x.com/LookN2MyLife,@LookN2MyLife,link,x.com,false
163,https://x.com/LookN2MyLife/status/1833409465217126561,"Sep 10, 2024",link,x.com,false
164,https://x.com/LookN2MyLife/status/1833409465217126561/analytics,25,link,x.com,false
165,https://x.com/bettyboopiiibop,,link,x.com,false
166,https://x.com/bettyboopiiibop,Shaelyns World,link,x.com,false
167,https://x.com/bettyboopiiibop,@bettyboopiiibop,link,x.com,false
168,https://x.com/anyadior1,,link,x.com,false
169,https://x.com/anyadior1,BOSS BABY,link,x.com,false
170,https://x.com/anyadior1,@anyadior1,link,x.com,false
171,https://x.com/traderstewie,,link,x.com,false
172,https://x.com/traderstewie,Traderstewie,link,x.com,false
173,https://x.com/traderstewie,@traderstewie,link,x.com,false
174,https://x.com/i/connect_people?user_id=1460887925227413507,Show more,link,x.com,false
175,https://x.com/explore/tabs/for-you,Show more,link,x.com,false
176,https://x.com/tos,Terms of Service,link,x.com,false
177,https://x.com/privacy,Privacy Policy,link,x.com,false
178,https://support.x.com/articles/20170514,Cookie Policy,link,support.x.com,true
179,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,Haley nia,image,pbs.twimg.com,true
180,https://pbs.twimg.com/profile_banners/1460887925227413507/1650468032/600x200,,image,pbs.twimg.com,true
181,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_200x200.jpg,Opens profile photo,image,pbs.twimg.com,true
182,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
183,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
184,https://pbs.twimg.com/profile_images/1364545561769181186/w9NFRO5y_normal.jpg,,image,pbs.twimg.com,true
185,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
186,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
187,https://pbs.twimg.com/profile_images/1672426299065786368/9xjQVw8w_normal.jpg,,image,pbs.twimg.com,true
188,https://abs-0.twimg.com/emoji/v2/svg/1f334.svg,🌴,image,abs-0.twimg.com,true
189,https://pbs.twimg.com/profile_images/1935567655273996288/2u2Ycb6q_normal.jpg,,image,pbs.twimg.com,true
190,https://abs-0.twimg.com/emoji/v2/svg/1f352.svg,🍒,image,abs-0.twimg.com,true
191,https://pbs.twimg.com/profile_images/1610791056295223297/M-1DrmMG_normal.jpg,,image,pbs.twimg.com,true
192,https://abs-0.twimg.com/emoji/v2/svg/1f49a.svg,💚,image,abs-0.twimg.com,true
